Entity,Code,Year,kg_per_capita,rank
Iceland,ISL,1990,3.9124243,1
Denmark,DNK,1990,2.7194583,2
France,FRA,1990,2.6931665,3
Norway,NOR,1990,2.6291072,4
United Kingdom,GBR,1990,2.6125991,5
Israel,ISR,1990,1.7916828,6
Cote d'Ivoire,CIV,1990,0.59636843,7
Iceland,ISL,1991,4.206627,1
Denmark,DNK,1991,3.1997852,2
United Kingdom,GBR,1991,3.1513574,3
France,FRA,1991,2.9211206,4
Norway,NOR,1991,2.7602475,5
Israel,ISR,1991,1.8646111,6
Cote d'Ivoire,CIV,1991,0.5927211,7
Iceland,ISL,1992,4.162597,1
Denmark,DNK,1992,3.4097548,2
France,FRA,1992,2.948898,3
United Kingdom,GBR,1992,2.9107425,4
Norway,NOR,1992,2.4798524,5
Israel,ISR,1992,1.9490825,6
Slovenia,SVN,1992,1.234399,7
Cote d'Ivoire,CIV,1992,0.53961223,8
Estonia,EST,1992,0.07910589,9
Iceland,ISL,1993,3.7349105,1
Denmark,DNK,1993,3.5216024,2
France,FRA,1993,2.8087173,3
Israel,ISR,1993,2.3331861,4
United Kingdom,GBR,1993,2.1910584,5
Norway,NOR,1993,2.1090877,6
Slovenia,SVN,1993,1.6274742,7
Cote d'Ivoire,CIV,1993,0.7789775,8
Estonia,EST,1993,0.3369841,9
Iceland,ISL,1994,3.9441786,1
Denmark,DNK,1994,3.6333554,2
France,FRA,1994,2.8198574,3
Norway,NOR,1994,2.4486063,4
United Kingdom,GBR,1994,2.4018538,5
Israel,ISR,1994,2.2668674,6
Slovenia,SVN,1994,2.1572862,7
Cote d'Ivoire,CIV,1994,1.0334369,8
Estonia,EST,1994,0.5144621,9
Denmark,DNK,1995,3.7997355,1
Iceland,ISL,1995,3.7627282,2
France,FRA,1995,2.930744,3
United Kingdom,GBR,1995,2.4024088,4
Norway,NOR,1995,2.3205369,5
Israel,ISR,1995,2.0114238,6
Slovenia,SVN,1995,1.8836899,7
Estonia,EST,1995,1.5584943,8
Cote d'Ivoire,CIV,1995,1.2919704,9
Estonia,EST,1996,5.3874345,1
Iceland,ISL,1996,4.0856314,2
Denmark,DNK,1996,3.813416,3
France,FRA,1996,3.2208912,4
United Kingdom,GBR,1996,3.1947844,5
Israel,ISR,1996,3.0424824,6
Norway,NOR,1996,2.6829748,7
Slovenia,SVN,1996,1.913084,8
Cote d'Ivoire,CIV,1996,1.7718735,9
Denmark,DNK,1997,5.0922403,1
Iceland,ISL,1997,4.469568,2
Estonia,EST,1997,3.7148662,3
France,FRA,1997,3.17182,4
